pair      bars |          strategy @7.5bps          |        buy and hold       
               |    ann%  maxDD% sharpe in-mkt% trd/yr |    ann%  maxDD% sharpe
BTCUSDT     8h |   -26.7   -94.1  -0.55    51.7    287 |    37.6   -76.7   0.84
BTCUSDT    12h |     7.3   -70.3   0.37    52.0    188 |    37.6   -76.9   0.85
BTCUSDT     1d |    -2.7   -70.1   0.14    52.5     96 |    37.6   -76.4   0.84
ETHUSDT     8h |   -14.9   -90.4  -0.04    50.8    285 |    33.8   -80.4   0.76
ETHUSDT    12h |    21.8   -78.2   0.64    51.5    189 |    33.8   -80.5   0.76
ETHUSDT     1d |   -17.0   -91.4  -0.09    51.8     99 |    33.8   -80.4   0.76
SOLUSDT     8h |   -36.8   -98.6  -0.20    50.1    283 |    67.0   -96.4   1.01
SOLUSDT    12h |    -5.1   -90.0   0.34    49.4    187 |    67.0   -96.4   1.02
SOLUSDT     1d |     8.4   -83.4   0.49    49.6     93 |    67.0   -96.4   1.01
DOGEUSDT    8h |    35.1   -94.4   0.68    49.7    282 |    72.1   -93.0   0.96
DOGEUSDT   12h |    69.5   -90.4   0.80    49.5    187 |    72.1   -92.9   0.90
DOGEUSDT    1d |    32.3   -92.6   0.55    49.1     95 |    72.0   -92.9   0.78
