
=== BTCUSDT @ 1s bars: 604,800 bars over 7 days | flat ticks 95.7% | median |move| 0.0013 bps | lag1 autocorr +0.113 | buy&hold +0.68%
strategy         hit%   gross%  turn(x)  b/e bps |    net@0    net@1    net@2    net@5   net@10
1bit             53.3   124.14    22655     0.55 |    124.1   -102.4   -329.0  -1008.6  -2141.4
ramp(5)          50.2    24.15     4510     0.54 |     24.1    -20.9    -66.0   -201.3   -426.8
ramp_long(5)     51.7    21.95     4091     0.54 |     22.0    -19.0    -59.9   -182.6   -387.1
streak(5)        53.3    54.37     9715     0.56 |     54.4    -42.8   -139.9   -431.4   -917.1
ramp(20)         49.3     0.25     1235     0.02 |      0.3    -12.1    -24.5    -61.5   -123.3
ramp_long(20)    51.2     4.85     1196     0.41 |      4.9     -7.1    -19.1    -54.9   -114.7
streak(20)       53.3    14.18     2577     0.55 |     14.2    -11.6    -37.4   -114.7   -243.5

=== ETHUSDT @ 1s bars: 604,800 bars over 7 days | flat ticks 92.7% | median |move| 0.0415 bps | lag1 autocorr +0.094 | buy&hold +0.93%
strategy         hit%   gross%  turn(x)  b/e bps |    net@0    net@1    net@2    net@5   net@10
1bit             53.4   151.76    39189     0.39 |    151.8   -240.1   -632.0  -1807.7  -3767.1
ramp(5)          50.2    29.17     7818     0.37 |     29.2    -49.0   -127.2   -361.7   -752.6
ramp_long(5)     51.2    25.24     7073     0.36 |     25.2    -45.5   -116.2   -328.4   -682.0
streak(5)        53.4    62.40    16743     0.37 |     62.4   -105.0   -272.5   -774.8  -1611.9
ramp(20)         49.1     3.28     2138     0.15 |      3.3    -18.1    -39.5   -103.6   -210.6
ramp_long(20)    50.7     7.64     2070     0.37 |      7.6    -13.1    -33.8    -95.8   -199.3
streak(20)       53.4    16.31     4423     0.37 |     16.3    -27.9    -72.1   -204.8   -426.0

=== SOLUSDT @ 1s bars: 604,800 bars over 7 days | flat ticks 89.5% | median |move| 0.9799 bps | lag1 autocorr -0.013 | buy&hold +0.73%
strategy         hit%   gross%  turn(x)  b/e bps |    net@0    net@1    net@2    net@5   net@10
1bit             50.0    51.78    64901     0.08 |     51.8   -597.2  -1246.2  -3193.3  -6438.3
ramp(5)          50.2    16.59    11393     0.15 |     16.6    -97.3   -211.3   -553.0  -1122.7
ramp_long(5)     50.7    13.38    10465     0.13 |     13.4    -91.3   -195.9   -509.9  -1033.1
streak(5)        50.0    31.05    24463     0.13 |     31.1   -213.6   -458.2  -1192.1  -2415.3
ramp(20)         49.5     0.03     3079     0.00 |      0.0    -30.8    -61.5   -153.9   -307.9
ramp_long(20)    50.6     4.74     2993     0.16 |      4.7    -25.2    -55.1   -144.9   -294.6
streak(20)       50.0     8.18     6370     0.13 |      8.2    -55.5   -119.2   -310.3   -628.8

=== DOGEUSDT @ 1s bars: 604,800 bars over 7 days | flat ticks 76.1% | median |move| 1.2003 bps | lag1 autocorr +0.009 | buy&hold +9.26%
strategy         hit%   gross%  turn(x)  b/e bps |    net@0    net@1    net@2    net@5   net@10
1bit             47.5   -55.67   152153    -0.04 |    -55.7  -1577.2  -3098.7  -7663.3 -15271.0
ramp(5)          51.5    -1.05    25873    -0.00 |     -1.1   -259.8   -518.5  -1294.7  -2588.4
ramp_long(5)     49.8     7.62    23843     0.03 |      7.6   -230.8   -469.3  -1184.6  -2376.7
streak(5)        47.5     6.62    55841     0.01 |      6.6   -551.8  -1110.2  -2785.4  -5577.4
ramp(20)         50.6    -5.23     6993    -0.07 |     -5.2    -75.2   -145.1   -354.9   -704.5
ramp_long(20)    49.8     0.41     6799     0.01 |      0.4    -67.6   -135.6   -339.5   -679.5
streak(20)       47.5     2.46    14477     0.02 |      2.5   -142.3   -287.1   -721.4  -1445.3
